applicant_id,full_name_en,father_name_en,grandfather_name_en,citizenship_number,citizenship_date_bs,citizenship_office,dob_ad,dob_bs,gender,marital_status,province_en,district_en,municipality_en,ward_no,phone_primary,occupation_en,occupation_np,education_level,household_size,land_area_ropani,has_esewa_account,has_khalti_account,esewa_account_id,khalti_account_id,primary_bank,remittance_receiving,cooperative_member,cooperative_id,kyc_tier,rural_urban,profile_created_date,_noise_geo_wrong,_noise_phone_wrong_len,_noise_dob_future,_noise_cit_malformed
AP-000011,Mohan Shrestha,Mohan Poudel,Ram Poudel,031-072-25713,2062/07/22,"जिल्ला प्रशासन कार्यालय, Kavrepalanchok",1998-02-22,2055-02-22,male,Married,Bagmati,Kavrepalanchok,Banepa Municipality,9.0,3379995032,Daily Wage Worker,दैनिक ज्यालादारी,Primary,6,7,True,False,ESW-AP-000011,,Sanima Bank,True,True,COOP-KAV-0007,basic,semi_urban,2024-02-11,False,False,False,False
AP-000012,Sanjay Tamang,Hari Rai,Shyam Shrestha,010-077-37938,2071/05/06,"जिल्ला प्रशासन कार्यालय, Kailali",1999-10-04,2056-10-04,male,Married,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,9.0,6424825305,Business Owner,व्यवसायी,Bachelors,1,17,False,True,,KHL-AP-000012,Sanima Bank,True,False,,full,rural,2024-01-09,False,False,False,False
AP-000013,Nirmala Tamang,Sanjay Basnet,Suresh Koirala,044-066-93130,2061/02/21,"जिल्ला प्रशासन कार्यालय, Kavrepalanchok",1978-10-07,2035-10-07,female,Married,Bagmati,Kavrepalanchok,Banepa Municipality,5.0,1103807155,Remittance Dependent,रेमिट्यान्स आश्रित,,6,4,False,False,,,Mega Bank,False,False,,full,rural,2024-02-18,False,False,False,False
AP-000014,Mohan Karki,Hari Limbu,Hari Sharma,070-061-58393,2069/06/26,"जिल्ला प्रशासन कार्यालय, Surkhet",1964-12-05,2021-12-05,male,Widowed,Karnali,Surkhet,Birendranagar Municipality,1.0,3325567963,Daily Wage Worker,दैनिक ज्यालादारी,Masters,4,3,True,False,ESW-AP-000014,,Sunrise Bank,False,False,,full,urban,2024-02-20,False,False,False,False
AP-000015,Arjun Adhikari,Binod Bhattarai,Arjun Shrestha,023-070-63964,2068/03/26,"जिल्ला प्रशासन कार्यालय, Surkhet",1971-07-01,2028-07-01,male,Single,Karnali,Surkhet,Birendranagar Municipality,7.0,1605399561,Small Trader,साना व्यापारी,Primary,4,14,True,True,ESW-AP-000015,KHL-AP-000015,Sunrise Bank,False,True,COOP-KAV-0005,full,urban,2024-01-01,False,False,False,False
AP-000016,Sanjay Limbu,Krishna Koirala,Sanjay Rai,036-071-94080,2060/02/09,"जिल्ला प्रशासन कार्यालय, Surkhet",1977-02-25,2034-02-25,male,Married,Karnali,Surkhet,Birendranagar Municipality,5.0,1216396351,Artisan,कारीगर,Bachelors,7,11,True,False,ESW-AP-000016,,NMB Bank,False,False,,full,rural,2024-03-04,False,False,False,False
AP-000017,Bikash Rai,Deepak Thapa,Krishna Rai,069-081-97900,2070/11/28,"जिल्ला प्रशासन कार्यालय, Jhapa",1987-01-17,2044-01-17,male,Married,Koshi,Jhapa,Mechinagar Municipality,15.0,3644518647,Farmer,किसान,,5,13,True,True,ESW-AP-000017,KHL-AP-000017,Sunrise Bank,False,True,COOP-KAV-0007,mid,semi_urban,2024-01-14,False,False,False,False
AP-000018,Suresh Shrestha,Deepak Dahal,Mohan Poudel,071-060-49829,2070/08/15,"जिल्ला प्रशासन कार्यालय, Surkhet",1996-05-13,2053-05-13,male,Married,Karnali,Surkhet,Birendranagar Municipality,4.0,5608079792,Driver,चालक,,3,2,True,False,ESW-AP-000018,,Sanima Bank,True,True,COOP-JHP-0002,mid,semi_urban,2024-01-27,False,False,False,False
AP-000019,Mohan Koirala,Arjun Thapa,Nabin Limbu,006-067-72277,2066/12/23,"जिल्ला प्रशासन कार्यालय, Kailali",1972-03-01,2029-03-01,male,Married,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,7.0,2258453521,Service Worker,सेवा कर्मी,Masters,1,3,True,True,ESW-AP-000019,KHL-AP-000019,Machhapuchchhre Bank,False,True,COOP-KAV-0004,basic,urban,2024-03-15,False,False,False,False
AP-000020,Rajesh Dahal,Nabin Poudel,Binod Bhattarai,068-077-88047,2073/09/15,"जिल्ला प्रशासन कार्यालय, Kavrepalanchok",1968-08-22,2025-08-22,male,Single,Bagmati,Kavrepalanchok,Banepa Municipality,12.0,4583258726,Business Owner,व्यवसायी,,5,7,True,False,ESW-AP-000020,,Mega Bank,False,False,,basic,urban,2024-02-21,False,False,False,False
AP-000021,Shyam Gurung,Hari Shrestha,Deepak Bhattarai,043-070-80798,2064/12/07,"जिल्ला प्रशासन कार्यालय, Kaski",1978-04-09,2035-04-09,male,Married,Gandaki,Kaski,Pokhara Metropolitan City,7.0,3682624278,Daily Wage Worker,दैनिक ज्यालादारी,Intermediate,7,1,False,False,,,NIC Asia Bank,False,False,,full,rural,2024-03-23,False,False,False,False
AP-000022,Shova Bhattarai,Sanjay Dahal,Mohan Shrestha,050-073-80545,2075/04/09,"जिल्ला प्रशासन कार्यालय, Lalitpur",1982-05-25,2039-05-25,female,Married,Bagmati,Lalitpur,Lalitpur Metropolitan City,1.0,4460916347,Farmer,किसान,Masters,7,5,True,True,ESW-AP-000022,KHL-AP-000022,Global IME Bank,False,True,COOP-KAV-0003,full,semi_urban,2024-02-19,False,False,False,False
AP-000023,Anita Limbu,Rajesh Shrestha,Nabin Rai,060-065-16590,2070/07/09,"जिल्ला प्रशासन कार्यालय, Sarlahi",1987-03-28,2044-03-28,female,Single,Madhesh,Sarlahi,Lalbandi Municipality,14.0,4370874491,Nurse/Health Worker,नर्स/स्वास्थ्य कर्मी,Illiterate,8,0,True,True,ESW-AP-000023,KHL-AP-000023,NMB Bank,True,False,,mid,urban,2024-02-08,False,False,False,False
AP-000024,Bikash Gurung,Nabin Adhikari,Shyam Poudel,003-079-29973,2066/08/23,"जिल्ला प्रशासन कार्यालय, Surkhet",1975-04-27,2032-04-27,male,Married,Karnali,Surkhet,Birendranagar Municipality,6.0,2750572325,Farmer,किसान,Bachelors,2,5,True,False,ESW-AP-000024,,Sanima Bank,True,True,COOP-KAV-0002,mid,urban,2024-03-22,False,False,False,False
AP-000025,Binod Adhikari,Mohan Dahal,Shyam Dahal,032-063-49529,2061/06/18,"जिल्ला प्रशासन कार्यालय, Morang",1997-12-27,2054-12-27,male,Married,Koshi,Morang,Biratnagar Metropolitan City,6.0,1643271261,Daily Wage Worker,दैनिक ज्यालादारी,Masters,6,0,True,False,ESW-AP-000025,,Machhapuchchhre Bank,True,False,,full,rural,2024-02-21,False,False,False,False
AP-000026,Arjun Basnet,Nabin Limbu,Binod Bhattarai,035-079-80539,2068/06/28,"जिल्ला प्रशासन कार्यालय, Kailali",1971-12-17,2028-12-17,male,Married,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,15.0,1399496923,Government Employee,सरकारी कर्मचारी,Intermediate,4,14,False,False,,,Citizens Bank,False,True,COOP-JHP-0003,mid,rural,2024-02-28,False,False,False,False
AP-000027,Sanjay Sharma,Sanjay Shrestha,Shyam Shrestha,036-079-46211,2073/08/18,"जिल्ला प्रशासन कार्यालय, Rupandehi",1982-05-11,2039-05-11,male,Single,Lumbini,Rupandehi,Siddharthanagar Municipality,12.0,4793532952,Service Worker,सेवा कर्मी,Masters,8,14,True,False,ESW-AP-000027,,Nepal Investment Bank,False,False,,basic,rural,2024-03-08,False,False,False,False
AP-000028,Rajan Basnet,Suresh Tamang,Suresh Shrestha,071-070-56112,2063/12/07,"जिल्ला प्रशासन कार्यालय, Rupandehi",1993-06-14,2050-06-14,male,Married,Lumbini,Rupandehi,Siddharthanagar Municipality,12.0,5918394863,Teacher,शिक्षक,Masters,3,6,True,True,ESW-AP-000028,KHL-AP-000028,NIC Asia Bank,False,True,COOP-JHP-0001,basic,semi_urban,2024-03-20,False,False,False,False
AP-000029,Hari Tamang,Ram Sharma,Sanjay Tamang,039-060-80010,2064/11/28,"जिल्ला प्रशासन कार्यालय, Rupandehi",1974-06-06,2031-06-06,male,Single,Madhesh,Rupandehi,Butwal Sub-Metropolitan City,2.0,1716396766,Remittance Dependent,रेमिट्यान्स आश्रित,SLC,8,15,False,False,,,Global IME Bank,True,False,,mid,urban,2024-02-28,True,False,False,False
AP-000030,Kabita Poudel,Suresh Thapa,Bikash Thapa,007-064-29555,2073/10/20,"जिल्ला प्रशासन कार्यालय, Kavrepalanchok",1964-10-21,2021-10-21,female,Single,Bagmati,Kavrepalanchok,Panauti Municipality,4.0,5508427798,Business Owner,व्यवसायी,Intermediate,8,9,True,True,ESW-AP-000030,KHL-AP-000030,Citizens Bank,False,True,COOP-KAV-0007,mid,semi_urban,2024-03-24,False,False,False,False
AP-000031,Hari Sharma,Deepak Basnet,Rajan Poudel,023-077-19838,2075/05/02,"जिल्ला प्रशासन कार्यालय, Kavrepalanchok",1965-03-08,2022-03-08,male,Married,Bagmati,Kavrepalanchok,Banepa Municipality,12.0,3854827139,Remittance Dependent,रेमिट्यान्स आश्रित,Intermediate,2,7,False,False,,,Sanima Bank,False,True,COOP-JHP-0003,mid,urban,2024-02-04,False,False,False,False
AP-000032,Rajan Koirala,Mohan Tamang,Nabin Thapa,022-069-87993,2074/12/10,"जिल्ला प्रशासन कार्यालय, Sarlahi",1969-02-02,2026-02-02,male,Single,Madhesh,Sarlahi,Lalbandi Municipality,5.0,5679800791,Remittance Dependent,रेमिट्यान्स आश्रित,Intermediate,8,2,True,False,ESW-AP-000032,,Citizens Bank,True,True,COOP-KAV-0001,full,semi_urban,2024-03-09,False,False,False,False
AP-000033,Kabita Dahal,Hari Basnet,Sanjay Adhikari,035-078-15273,2074/05/06,"जिल्ला प्रशासन कार्यालय, Kavrepalanchok",1996-10-01,2053-10-01,female,Divorced,Bagmati,Kavrepalanchok,Banepa Municipality,7.0,6974288855,Nurse/Health Worker,नर्स/स्वास्थ्य कर्मी,Intermediate,2,15,True,False,ESW-AP-000033,,Sunrise Bank,True,False,,mid,rural,2024-01-28,False,False,False,False
AP-000034,Shyam Rai,Suresh Rai,Shyam Dahal,071-061-69614,2072/09/27,"जिल्ला प्रशासन कार्यालय, Kaski",1978-11-13,2035-11-13,male,Divorced,Gandaki,Kaski,Pokhara Metropolitan City,11.0,5596043327,Business Owner,व्यवसायी,Intermediate,1,6,False,True,,KHL-AP-000034,Prabhu Bank,True,False,,mid,urban,2024-03-15,False,False,False,False
AP-000035,Sita Adhikari,Mohan Dahal,Bikash Bhattarai,057-075-25915,2065/05/18,"जिल्ला प्रशासन कार्यालय, Kailali",1995-03-10,2052-03-10,female,Married,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,7.0,1341270488,Remittance Dependent,रेमिट्यान्स आश्रित,Illiterate,8,3,False,True,,KHL-AP-000035,Mega Bank,False,True,COOP-KAV-0003,mid,semi_urban,2024-03-23,False,False,False,False
AP-000036,Mohan Karki,Rajan Gurung,Binod Thapa,019-072-34983,2068/07/11,"जिल्ला प्रशासन कार्यालय, Rupandehi",1975-08-18,2032-08-18,male,Widowed,Lumbini,Rupandehi,Siddharthanagar Municipality,9.0,3981058292,Business Owner,व्यवसायी,Illiterate,5,9,False,False,,,Citizens Bank,True,False,,mid,semi_urban,2024-01-15,False,False,False,False
AP-000037,Shova Shrestha,Mohan Limbu,Bikash Koirala,059-070-34727,2073/01/11,"जिल्ला प्रशासन कार्यालय, Sarlahi",1995-09-13,2052-09-13,female,Single,Madhesh,Sarlahi,Lalbandi Municipality,12.0,4514548900,Artisan,कारीगर,Masters,3,15,True,False,ESW-AP-000037,,Nepal Investment Bank,False,False,,basic,urban,2024-02-28,False,False,False,False
AP-000038,Hari Thapa,Nabin Dahal,Suresh Rai,019-073-95823,2072/11/03,"जिल्ला प्रशासन कार्यालय, Lalitpur",1989-01-24,2046-01-24,male,Single,Bagmati,Lalitpur,Lalitpur Metropolitan City,14.0,6672972597,Teacher,शिक्षक,Intermediate,6,20,True,False,ESW-AP-000038,,NMB Bank,False,False,,full,semi_urban,2024-03-02,False,False,False,False
AP-000039,Arjun Adhikari,Rajan Koirala,Shyam Basnet,012-073-22903,2065/12/10,"जिल्ला प्रशासन कार्यालय, Sarlahi",1978-04-24,2035-04-24,male,Single,Madhesh,Sarlahi,Lalbandi Municipality,1.0,3954852540,Nurse/Health Worker,नर्स/स्वास्थ्य कर्मी,Illiterate,5,11,False,False,,,Sunrise Bank,False,False,,mid,rural,2024-02-19,False,False,False,False
AP-000040,Sunita Basnet,Mohan Gurung,Bikash Basnet,049-079-99539,2068/08/09,"जिल्ला प्रशासन कार्यालय, Surkhet",1965-10-28,2022-10-28,female,Married,Karnali,Surkhet,Birendranagar Municipality,15.0,4408842146,Small Trader,साना व्यापारी,Masters,3,2,True,False,ESW-AP-000040,,Global IME Bank,False,True,COOP-KAV-0006,full,rural,2024-02-23,False,False,False,False
AP-000041,Rekha Poudel,Suresh Bhattarai,Suresh Sharma,031-072-84963,2072/05/01,"जिल्ला प्रशासन कार्यालय, Rupandehi",1984-08-04,2041-08-04,female,Married,Lumbini,Rupandehi,Siddharthanagar Municipality,11.0,6152660856,Service Worker,सेवा कर्मी,,8,9,True,True,ESW-AP-000041,KHL-AP-000041,NIC Asia Bank,False,True,COOP-JHP-0003,full,rural,2024-01-20,False,False,False,False
AP-000042,Rajesh Bhattarai,Hari Thapa,Suresh Rai,057-061-85965,2073/03/07,"जिल्ला प्रशासन कार्यालय, Rupandehi",1962-05-26,2019-05-26,male,Married,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,9.0,3669998399,Nurse/Health Worker,नर्स/स्वास्थ्य कर्मी,Bachelors,5,5,True,False,ESW-AP-000042,,Sanima Bank,True,False,,full,urban,2024-02-24,False,False,False,False
AP-000043,Deepak Koirala,Arjun Karki,Rajesh Thapa,029-081-98395,2072/01/09,"जिल्ला प्रशासन कार्यालय, Kailali",1964-03-25,2021-03-25,male,Married,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,8.0,3822443971,Business Owner,व्यवसायी,Masters,5,18,True,False,ESW-AP-000043,,Machhapuchchhre Bank,False,False,,full,urban,2024-01-22,False,False,False,False
AP-000044,Krishna Koirala,Nabin Bhattarai,Suresh Adhikari,029-080-18285,2073/02/05,"जिल्ला प्रशासन कार्यालय, Kaski",1995-06-20,2052-06-20,male,Married,Gandaki,Kaski,Pokhara Metropolitan City,1.0,3628951656,Driver,चालक,Illiterate,2,7,False,False,,,Prabhu Bank,True,False,,basic,semi_urban,2024-03-24,False,False,False,False
AP-000045,Shova Rai,Bikash Basnet,Nabin Shrestha,053-068-14288,2071/02/22,"जिल्ला प्रशासन कार्यालय, Surkhet",1966-08-20,2023-08-20,female,Married,Karnali,Surkhet,Birendranagar Municipality,15.0,6485123110,Government Employee,सरकारी कर्मचारी,,1,12,True,False,ESW-AP-000045,,Sanima Bank,True,True,COOP-KAV-0004,full,urban,2024-02-03,False,False,False,False
AP-000046,Binod Dahal,Sanjay Shrestha,Mohan Shrestha,073-066-18992,2067/06/25,"जिल्ला प्रशासन कार्यालय, Surkhet",1981-04-05,2038-04-05,male,Married,Karnali,Surkhet,Birendranagar Municipality,15.0,5103044648,Farmer,किसान,SLC,3,4,False,False,,,Prabhu Bank,True,True,COOP-KAV-0005,full,rural,2024-01-05,False,False,False,False
AP-000047,Shova Limbu,Sanjay Thapa,Rajan Thapa,034-061-26614,2075/08/25,"जिल्ला प्रशासन कार्यालय, Lalitpur",1980-01-06,2037-01-06,female,Married,Bagmati,Lalitpur,Lalitpur Metropolitan City,10.0,1585337126,Driver,चालक,Bachelors,4,19,True,False,ESW-AP-000047,,Nepal Investment Bank,False,False,,mid,urban,2024-03-17,False,False,False,False
AP-000048,Shyam Thapa,Rajesh Poudel,Hari Thapa,014-075-68138,2064/05/20,"जिल्ला प्रशासन कार्यालय, Rupandehi",1990-07-14,2047-07-14,male,Married,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,9.0,6449165212,Farmer,किसान,Intermediate,5,14,True,False,ESW-AP-000048,,Prabhu Bank,False,False,,mid,rural,2024-03-04,False,False,False,False
AP-000049,RAJAN THAPA,Rajesh Limbu,Rajesh Adhikari,059-072-64524,2068/06/05,"जिल्ला प्रशासन कार्यालय, Kailali",1974-07-11,2031-07-11,male,Single,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,8.0,1197951867,Business Owner,व्यवसायी,Illiterate,2,13,True,True,ESW-AP-000049,KHL-AP-000049,Nabil Bank,True,False,,mid,rural,2024-01-18,False,False,False,False
AP-000050,Mohan Tamang,Rajesh Thapa,Mohan Karki,055-061-47700,2066/03/22,"जिल्ला प्रशासन कार्यालय, Lalitpur",1982-11-25,2039-11-25,male,Married,Bagmati,Lalitpur,Lalitpur Metropolitan City,14.0,1475932035,Government Employee,सरकारी कर्मचारी,,6,3,True,True,ESW-AP-000050,KHL-AP-000050,Sanima Bank,True,False,,mid,urban,2024-03-25,False,False,False,False
